epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,476.53,1.04197,0.89417,1.13543,0.08903,0.875,0.75044,0.57356,1.13374,26.9776,1.396,0.005743,0.005743,0.005743
45,487.062,1.11817,1.02844,1.20321,0.1337,0.75,0.77678,0.56155,1.11907,17.9073,1.3651,0.005644,0.005644,0.005644
46,497.449,1.16315,1.04719,1.33894,0.36735,0.875,0.85941,0.62995,1.0777,10.7292,1.33518,0.005545,0.005545,0.005545
47,507.844,0.86148,2.89874,0.98862,0.75829,0.875,0.92833,0.65944,1.14477,5.53108,1.37914,0.005446,0.005446,0.005446
48,518.235,0.946,2.20235,1.0273,0.87053,0.875,0.90049,0.60262,1.18264,4.23135,1.39124,0.005347,0.005347,0.005347
49,528.741,1.12531,1.42002,1.21658,0.66238,0.75,0.83743,0.54539,1.19619,4.56228,1.38463,0.005248,0.005248,0.005248
50,539.327,1.19,1.29709,1.23478,0.45592,0.75,0.72886,0.47057,1.2565,6.27694,1.37182,0.005149,0.005149,0.005149
51,549.71,1.13166,1.19996,1.21501,0.25001,0.75,0.67568,0.43202,1.32482,9.97573,1.41379,0.00505,0.00505,0.00505
52,560.134,1.04853,0.9789,1.19111,0.3503,0.75,0.74507,0.46839,1.34349,8.43072,1.39686,0.004951,0.004951,0.004951
53,570.65,1.09478,1.05017,1.21816,0.63109,0.75,0.77886,0.53619,1.23792,4.84264,1.35318,0.004852,0.004852,0.004852
54,581.046,0.99519,0.86192,1.1882,0.81928,0.625,0.79138,0.50199,1.22281,2.99752,1.33618,0.004753,0.004753,0.004753
55,591.51,1.06956,1.04114,1.17654,0.90844,0.625,0.73071,0.4974,1.24267,2.26572,1.33678,0.004654,0.004654,0.004654
56,602.028,1.0879,0.90972,1.16323,1,0.73253,0.84567,0.56229,1.22751,1.35568,1.36326,0.004555,0.004555,0.004555
57,612.484,1.09834,1.01759,1.20576,0.85431,0.875,0.90928,0.57842,1.23298,1.31634,1.41141,0.004456,0.004456,0.004456
58,622.904,1.06224,1.19031,1.26338,0.84097,0.875,0.89708,0.5867,1.27025,1.52876,1.47624,0.004357,0.004357,0.004357
59,633.349,1.04214,0.92149,1.14675,1,0.85891,0.91674,0.55426,1.29633,1.38445,1.48648,0.004258,0.004258,0.004258
60,643.782,1.04229,0.86361,1.22673,0.98565,0.875,0.88136,0.56006,1.24766,1.17649,1.43497,0.004159,0.004159,0.004159
61,654.432,1.08511,1.02692,1.19724,0.98169,0.875,0.87714,0.54875,1.26069,1.26221,1.43552,0.00406,0.00406,0.00406
62,664.988,0.91155,0.77949,1.09064,0.97213,0.875,0.87876,0.58488,1.2357,1.17525,1.43665,0.003961,0.003961,0.003961
63,675.631,0.92766,0.82425,1.14979,1,0.86278,0.89245,0.57872,1.2338,0.92842,1.41612,0.003862,0.003862,0.003862
64,686.313,1.19122,1.1508,1.40705,1,0.86149,0.923,0.61106,1.23258,0.82363,1.37551,0.003763,0.003763,0.003763
65,696.897,0.93273,0.79331,1.1402,1,0.87195,0.98167,0.66084,1.13601,0.75939,1.28835,0.003664,0.003664,0.003664
